City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Belfast,The Fitzwilliam Hotel Belfast,"1-3 Great Victoria Street, Belfast, BT3 7HR",9.1,"(3,356)",£432total,Preferred Hotels & Resorts
Belfast,Jurys Inn Belfast,"bt27ap Fisherwick Place,Great Victoria Street Belfast, Belfast, BT2 7AP",8.3,"(9,910)",£250total,Booking.com
Belfast,The Flint,"48 Howard Street, Belfast, BT2 7GE",9.3,"(4,369)",£256total,Booking.com
Belfast,Ultra Urban Belfast Corporate Apartments,Belfast City Centre,9.1,(358),£352total,Booking.com
Belfast,Lwr Ormeau Guest House,"144 Ormeau Road, Belfast, BT7 1LU",8.0,(506),£160total,Booking.com
Belfast,Maldron Hotel Belfast City,"20 Brunswick Street, Belfast, BT2 7GE",8.8,"(4,895)",£277total,Booking.com
Belfast,Central Belfast Apartments: Salisbury,Belfast City Centre,8.7,(104),£285total,Booking.com
Belfast,Clayton Hotel Belfast,"22-26 Ormeau Avenue, Belfast, BT2 8HS",8.2,"(3,493)",£303total,Booking.com
Belfast,Holiday Inn Belfast City Centre,"40 Hope Street, Belfast",8.7,"(4,249)",£249total,Booking.com
Belfast,Perfect City Center Location / Free Parking / 4 Beds,Belfast City Centre,9.2,(25),£347total,Booking.com
Benidorm,Hotel Cimbel,"Avenida Europa, 1, 03500 Benidorm, Valencia",8.7,"(2,317)",£203total,Booking.com
Benidorm,Hotel Madeira Centro,"Calle Esperanto, 1, 03501 Benidorm, Valencia",8.1,"(1,845)",£204total,Booking.com
Benidorm,Hotel Benidorm Plaza,"Calle de Emilio Ortuno, 18, 03501 Benidorm, Valencia",8.1,"(1,583)",£194total,Booking.com
Benidorm,Apartamentos Nicaragua,,9.0,(129),£280total,Booking.com
Benidorm,Hotel La Estacion,"Passeig Dels Tolls, 03502 Benidorm, Valencia",7.9,"(4,436)",£183total,Booking.com
Benidorm,Helios Benidorm,"Avenida Filipinas, 12, 03503 Benidorm, Valencia",9.1,"(4,272)",£176total,Hotels.com
Benidorm,My Pretty Payma,Levante,8.7,(421),£168total,Booking.com
Benidorm,Gastrohotel RH Canfali,"Plaza San Jaime, 5, 03501 Benidorm, Valencia",9.1,"(1,573)",£276total,Booking.com
Benidorm,Don Pancho,"Avenida Del Mediterráneo, 39, 03503 Benidorm, Valencia",9.2,"(1,308)",£300total,Booking.com
Benidorm,Centralmar Centro,Poniente,9.8,(97),£184total,Booking.com
Berlin,Aparthotel Adagio Berlin Kurfürstendamm,"Lietzenburger Straße 89 a, 10719 Berlin",8.4,"(1,869)",£178total,Booking.com
Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"(8,652)",£289total,Booking.com
Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"(2,895)",£237total,Booking.com
Berlin,Apartments Berlin Leberstraße 58,Schöneberg,7.6,(127),£196total,Booking.com
Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.3,"(1,603)",£223total,NH Hotels
Berlin,Crowne Plaza Berlin - Potsdamer Platz,"Hallesche Str 10, 10963 Berlin",8.7,"(2,433)",£289total,Booking.com
Berlin,limehome Berlin Neue Straße,Tempelhof,8.0,(142),£281total,Booking.com
Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.3,"(2,192)",£192total,Booking.com
Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"(5,155)",£422total,Booking.com
Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"(1,490)",£302total,Booking.com
Budapest,Barcelo Budapest,"Király Street 16, Budapest 1036",9.2,"(2,272)",£263total,Booking.com
Budapest,Anantara New York Palace Budapest,"Erzsebet Korut 9-11, Budapest 1073",9.1,"(2,963)",£485total,Anantara
Budapest,Ensana Thermal Margaret Island,"Margitsziget 3 Budapest HU, Budapest 1138",8.9,"(5,325)",£254total,Booking.com
Budapest,Citypark Villa Flat,District XIV - Zugló,9.9,(45),£215total,Booking.com
Budapest,Kempinski Hotel Corvinus Budapest,"Erzsébet Tér 7-8., Budapest 1051",9.1,"(2,309)",£658total,Booking.com
Budapest,Danubius Hotel Arena,"Ifjusag Utja 1-3, Budapest 1148",8.1,"(4,403)",£175total,Booking.com
Budapest,Elisabeth Apartment on Váci Street,District V - Belváros-Lipótváros,9.1,(71),£166total,Booking.com
Budapest,Danubius Hotel Helia,"Karpat U. 62-64, Budapest 1133",8.3,"(4,545)",£210total,Booking.com
Budapest,Hilton Budapest,"Hess A Ter 1-3, Budapest 1014",8.9,"(1,487)",£539total,Booking.com
Budapest,Helena apartment with view on St. Stephan's Basilica,District VI - Terézváros,9.3,(56),£202total,Booking.com
Dalaman,Otantik Tas Ev,"Guzelyurt Mah. Softalar Mevkii Sarigerme Yolu Uzeri No:27 Ortaca, Sarigerme, Dalaman 48600",8.5,(152),£110total,Hotels.com
Dalaman,Dalaman Airport Lykia Thermal & Spa Hotel,"Havaalani Yolu 3. km Kenan Evren, Dalaman 48770",7.3,(393),£124total,lastminute.com
Dalaman,Thermemaris Thermal & Spa Resort,"Incebel Mevkii, Dalaman 48770",8.8,100 reviews,£371total,Hotels.com
Dalaman,Dalaman Villa Karya,,9.0,(3),£593total,Booking.com
Dalaman,Karacan Park Hotel,"Kenan evren bulvarı, Ege mahallesi No:37 Mugla, Dalaman 48770",9.1,(546),£179total,Booking.com
Dalaman,Dalaman Airport Daltur Aparts,,9.1,(14),£88total,Booking.com
Dalaman,Yelken Studio Apartment,"Ataturk Cad. Alp Sokak No:2/1 Dalaman/Muğla, Dalaman 48770",8.6,(9),£103total,Booking.com
Dalaman,Dolphin Apart & Hotel,"Sarıgerme Mahallesi Merkez Sokak 416/B, Sarigerme 48000",8.8,(100),,
Dalaman,16 Jasmine Apartment Botanic Gardens,,7.1,(1),£266total,Booking.com
Dalaman,Hotel Sevgi 2,"Sarigerme, No. 248, Sarigerme 48100",,,,
Dubai,Five Jumeirah Village Dubai,"District 14, Street 1 Jumeirah Village Circle, Dubai",8.9,"(24,316)",£605total,Booking.com
Dubai,Five Palm Jumeirah Dubai,"No. 1 The Palm, Dubai",8.9,"(15,789)","£1,451total",Booking.com
Dubai,Atlantis The Palm,"1 Crescent Road, Dubai 211222",8.8,"(16,358)","£1,486total",Booking.com
Dubai,Elite Residence Dubai Marina,,9.4,(5),£592total,Booking.com
Dubai,Taj Dubai,"Downtown Burj Khalifa Street, Dubai",9.0,"(5,308)","£1,007total",Booking.com
