,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
50,Dalaman,Otantik Tas Ev,"Guzelyurt Mah. Softalar Mevkii Sarigerme Yolu Uzeri No:27 Ortaca, Sarigerme, Dalaman 48600",8.5,(152),£108total,Expedia
51,Dalaman,Dalaman Airport Lykia Thermal & Spa Hotel,"Havaalani Yolu 3. km Kenan Evren, Dalaman 48770",7.3,(398),£131total,Expedia
52,Dalaman,Dalaman Villa Karya,,9.0,(3),£585total,Booking.com
53,Dalaman,Karacan Park Hotel,"Kenan evren bulvarı, Ege mahallesi No:37 Mugla, Dalaman 48770",9.1,(539),£176total,Booking.com
54,Dalaman,Alibaba Airport Hotel,"Kapukargin Mh Cafer Sok. No.25, Dalaman 48770",8.8,(10),£121total,Zenhotels.com
55,Dalaman,Dalaman Airport Daltur Aparts,,9.1,(14),£87total,Booking.com
56,Dalaman,Dolphin Apart & Hotel,"Sarıgerme Mahallesi Merkez Sokak 416/B, Sarigerme 48000",8.8,(99),£135total,Expedia
57,Dalaman,Hotel Sevgi 2,"Sarigerme, No. 248, Sarigerme 48100",,,£120total,Expedia
58,Dalaman,16 Jasmine Apartment Botanic Gardens,,7.1,(1),£263total,Booking.com
59,Tenerife,Hotel Silken Atlántida Santa Cruz,"Avda. 3 de Mayo, 3, 38005 Santa Cruz de Tenerife, Tenerife",8.5,"(3,596)",£297total,Booking.com
60,Tenerife,Hotel Taburiente,"C/ Dr Jose Naveiras 24a, 38001 Santa Cruz de Tenerife, Tenerife",8.7,"(2,345)",£291total,Booking.com
61,Tenerife,Hotel Colón Rambla,"C/ Viera Y Clavijo 49, 38004 Santa Cruz de Tenerife, Tenerife",8.6,"(2,039)",£291total,Booking.com
62,Tenerife,Vistamar,,8.2,(99),£259total,Booking.com
63,Tenerife,Urban Anaga Hotel,"Calle Imeldo Seris 19, 38003 Santa Cruz de Tenerife, Tenerife",8.6,"(1,112)",£312total,Booking.com
64,Tenerife,La Laguna Gran Hotel,"C/ Nava y Grimón, 18, 38201 San Cristóbal de La Laguna, Tenerife",9.0,"(4,271)",£262total,Snaptravel
65,Tenerife,Dream Flat,,9.0,(69),£155total,Booking.com
66,Tenerife,Iberostar Heritage Grand Mencey,"Calle Doctor Jose Naveiras, 38, 38004 Santa Cruz de Tenerife, Tenerife",8.9,"(1,943)",£379total,Tripadvisor
67,Tenerife,Occidental Santa Cruz Contemporáneo,"Rambla De Santa Cruz, 116, 38001 Santa Cruz de Tenerife, Tenerife",8.2,"(2,560)",£264total,Booking.com
68,Tenerife,Apartamento moderno nucleo Santa Cruz,,9.4,(23),£240total,Booking.com
69,Malaga,Only You Hotel Málaga,"Alameda Principal, 1, 29001 Málaga, Andalusia",8.8,(78),£566total,Booking.com
70,Malaga,Ilunion Malaga,"Paseo Marítimo Antonio Machado, 10, 29002 Málaga, Andalusia",8.5,"(5,934)",£322total,Booking.com
71,Malaga,Soho Boutique Colón,"Alameda de Colón, 5, 29001 Málaga, Andalusia",8.7,"(1,853)",£283total,Hotels.com
72,Malaga,Ce-Cervantes,Centro,9.1,(54),£434total,Booking.com
73,Malaga,Gran hotel Miramar GL,"Paseo Reding, 22, 29016 Málaga, Andalusia",9.2,"(2,527)",£656total,Booking.com
74,Malaga,Salles Hotel Malaga Centro,"Marmoles 6, 29007 Málaga, Andalusia",8.5,"(2,577)",£274total,Booking.com
75,Malaga,Telmo Fresh Apartments by Bossh! Apartments,Centro,8.8,(21),£226total,Booking.com
76,Malaga,Hotel Guadalmedina,"Pasillo Del Matadero, 16, 29001 Málaga, Andalusia",8.5,"(2,681)",£303total,Booking.com
77,Malaga,Hotel Plaza Del Castillo,"Calle De Fedra (Calle Albania 3-5), 29196 Málaga, Andalusia",8.3,"(3,028)",£257total,Booking.com
78,Malaga,Tandem Soho Suites,Centro,9.1,"(2,242)",£281total,Booking.com
79,Amsterdam,Park Inn by Radisson Amsterdam City West,"La Guardiaweg 59, 1043 DE Amsterdam, North Holland",8.2,"(12,922)",£342total,Booking.com
80,Amsterdam,Xo Hotels Couture,"Delflandlaan 15, 1062 EA Amsterdam, North Holland",8.7,"(6,298)",£242total,Booking.com
81,Amsterdam,Pestana Amsterdam Riverside,"Amsteldijk 67, 1074 HZ Amsterdam, North Holland",8.6,"(3,377)",£557total,Booking.com
82,Amsterdam,Yays Amsterdam Salthouse Canal,Westerpark,8.6,(898),£543total,Booking.com
83,Amsterdam,Postillion Hotel Amsterdam,"Paul Van Vlissingenstraat 9-11, 1096 BK Amsterdam, North Holland",8.7,"(8,732)",£359total,Booking.com
84,Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,"Dam 9, 1012 JS Amsterdam, North Holland",8.8,"(6,696)",£744total,Booking.com
85,Amsterdam,Sailor Suite Coaster Mado,Amsterdam-Oost,9.7,(74),£463total,Booking.com
86,Amsterdam,The Student Hotel Amsterdam City,"Wibautstraat 129, 1091 GL Amsterdam, North Holland",8.7,"(4,947)",£389total,Booking.com
87,Amsterdam,NH Collection Amsterdam Doelen,"Nieuwe Doelenstraat 26, 1012 CP Amsterdam, North Holland",8.9,"(1,344)",£643total,NH Collection Hotels
88,Amsterdam,Amsterdam Oosterpark By Yays,Amsterdam-Oost,7.6,(211),£403total,Booking.com
89,Dublin,Hotel Riu Plaza The Gresham Dublin,"23 Upper O Connell Street, Dublin 1",8.4,"(14,377)",£360total,Booking.com
90,Dublin,Jurys Inn Dublin Parnell Street,"Moore Street Plaza, Parnell St, Dublin,1, Dublin 0",8.0,"(9,530)",£269total,Booking.com
91,Dublin,Clayton Hotel Dublin Airport,"Stockhole Lane, Dublin",8.5,"(10,383)",£248total,Booking.com
92,Dublin,Temple Bar District Apartments,Temple Bar - St. Stephen's Green,8.1,(228),£433total,Booking.com
93,Dublin,The Merchant House,"8 Eustace Street, Temple Bar, Dublin D2",8.9,(288),£682total,Booking.com
94,Dublin,"Keavan's Port Hotel , Dublin","Dublin 1-5 Camden Street Upper and 49-51 Camden Street Lower, Dublin",8.2,(356),£515total,Booking.com
95,Dublin,Sweet Inn - Spacious Grand Canal,Ballsbridge,8.2,(87),£716total,Booking.com
96,Dublin,"Radisson Blu St. Helen's Hotel, Dublin","Stillorgan Road, Dublin 4",8.2,"(2,683)",£449total,Booking.com
97,Dublin,The Gibson Hotel,"The Point Square Dublin1, Dublin",8.6,"(6,388)",£368total,Booking.com
98,Dublin,"Premier Suites Plus Dublin, Leeson Street",Temple Bar - St. Stephen's Green,9.0,(286),£480total,Booking.com
99,Benidorm,Hotel Cimbel,"Avenida Europa, 1, 03500 Benidorm, Valencia",8.7,"(2,316)",£203total,Booking.com
100,Benidorm,Port Benidorm,"Estocolmo, 4, 03503 Benidorm, Valencia",8.2,"(5,051)",£313total,Hotels.com
101,Benidorm,Hotel Madeira Centro,"Calle Esperanto, 1, 03501 Benidorm, Valencia",8.1,"(1,847)",£204total,Booking.com
102,Benidorm,Apartamentos Nicaragua,,9.0,(130),£280total,Booking.com
103,Benidorm,Hotel Benidorm Plaza,"Calle de Emilio Ortuno, 18, 03501 Benidorm, Valencia",8.1,"(1,578)",£194total,Booking.com
104,Benidorm,Hotel La Estacion,"Passeig Dels Tolls, 03502 Benidorm, Valencia",7.9,"(4,438)",£183total,Booking.com
105,Benidorm,My Pretty Payma,Levante,8.7,(422),£168total,Booking.com
106,Benidorm,Helios Benidorm,"Avenida Filipinas, 12, 03503 Benidorm, Valencia",9.1,"(4,275)",£176total,Hotels.com
107,Benidorm,Gastrohotel RH Canfali,"Plaza San Jaime, 5, 03501 Benidorm, Valencia",9.1,"(1,572)",£276total,Booking.com
108,Benidorm,Centralmar Centro,Poniente,9.8,(97),£184total,Booking.com
109,Los Angeles,Sonesta Los Angeles Airport Lax,"5985 West Century Boulevard, Los Angeles, CA 90045",8.0,"(5,943)",£412total,Booking.com
110,Los Angeles,Hyatt Regency Los Angeles International Airport,"6225 West Century Boulevard, Los Angeles, CA 90045",8.5,"(4,738)",£556total,Booking.com
111,Los Angeles,Sheraton Gateway Los Angeles Hotel,"6101 West Century Boulevard, Los Angeles, CA 90045",8.0,"(4,427)",£524total,Booking.com
112,Los Angeles,Fully Furnished Loft In Dtla Fashion District,Downtown Los Angeles,9.5,(12),£553total,Booking.com
113,Los Angeles,Mr. C Beverly Hills,"1224 Beverwil Drive, Los Angeles, CA 90035",8.0,(366),£909total,Hotels.com
