,Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
130,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,17:50 – 19:20,DUB Dublin,LHR Heathrow,direct,1h 30m
131,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,09:40 – 11:15,DUB Dublin,LHR Heathrow,direct,1h 35m
132,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,07:10 – 08:45,DUB Dublin,LHR Heathrow,direct,1h 35m
133,18:20 – 19:45,LHR Heathrow,British Airways,DUB Dublin,direct,1h 25m,20:40 – 21:55,DUB Dublin,LHR Heathrow,direct,1h 15m
134,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,15:30 – 16:50,DUB Dublin,LHR Heathrow,direct,1h 20m
135,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,14:10 – 15:30,DUB Dublin,LHR Heathrow,direct,1h 20m
136,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,10:00 – 11:20,DUB Dublin,LHR Heathrow,direct,1h 20m
137,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,17:40 – 19:00,DUB Dublin,LHR Heathrow,direct,1h 20m
138,06:35 – 08:05,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 30m,10:00 – 11:20,DUB Dublin,LHR Heathrow,direct,1h 20m
139,06:35 – 08:05,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 30m,15:30 – 16:50,DUB Dublin,LHR Heathrow,direct,1h 20m
140,08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
141,08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
142,17:50 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
143,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,09:45 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
144,08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
145,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,19:50 – 09:35 +1,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
146,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,12:15 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
147,08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,05:50 – 13:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
148,10:25 – 19:15,LHR Heathrow,"LOT, British Airways",BUD Ferenc Liszt Intl,1 stop,WAW,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
149,17:35 – 23:10,LHR Heathrow,"Air France, British Airways",BUD Ferenc Liszt Intl,1 stop,CDG,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
150,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,17:05 – 20:50,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
151,17:05 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
152,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 16:05,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
153,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 17:00,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
154,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,06:30 – 10:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
155,06:30 – 12:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
